dateTime,artist,song
6/30/2021 14:33:00,alt-J,Left Hand Free
6/30/2021 14:31:00,Wallows,Remember When
6/30/2021 14:28:00,Lowertown,New Song
6/30/2021 14:24:00,Sir Sly,Astronaut
6/30/2021 14:21:00,Role Model,girl in new york
6/30/2021 14:16:00,Cavetown,Juliet
6/30/2021 14:12:00,Matt Maltese,Even If It's a Lie - Demo
6/30/2021 14:08:00,Gym Class Heroes,Cupid's Chokehold / Breakfast in America
6/30/2021 14:04:00,SZA,Drew Barrymore
6/30/2021 13:59:00,Coin,Malibu 1992
6/30/2021 13:56:00,Still Woozy,Goodie Bag
6/30/2021 13:52:00,One Direction,Clouds
6/30/2021 13:48:00,Cavetown,Talk To Me
6/30/2021 13:44:00,Saint Motel,For Elise
6/30/2021 13:40:00,alt-J,Breezeblocks
6/30/2021 13:39:00,Boy Willows,Fila
6/30/2021 13:16:00,Rainbow Kitten Surprise,Cocaine Jesus
6/30/2021 13:13:00,Noah and the Whale,5 Years Time
6/30/2021 13:08:00,boy pablo,I <3 U
6/30/2021 13:05:00,Lord Huron,Love Me Like You Used To
6/30/2021 13:01:00,Sarah Kinsley,The King
6/30/2021 12:59:00,Surf Curse,Freaks
6/30/2021 12:56:00,dad sports,dog cuddles
6/30/2021 12:51:00,Daniel Caesar,Japanese Denim
6/30/2021 12:48:00,Role Model,better the first time
6/30/2021 12:45:00,Arctic Monkeys,I Wanna Be Yours
6/30/2021 12:42:00,Jontha Links,Duracell
6/30/2021 12:38:00,Coin,Crash My Car
6/30/2021 12:35:00,Mac DeMarco,My Kind of Woman
6/30/2021 12:32:00,Cage the Elephant,Cigarette Daydreams
6/29/2021 22:26:00,Zayn,Sweat
6/28/2021 2:08:00,carpetgarden,Sex Inside My Car
6/28/2021 2:05:00,M.A.G.S.,Drugs
6/28/2021 2:03:00,Coin,Sagittarius Superstar (feat. Faye Webster)
6/28/2021 2:00:00,Aidan Bissett,More Than Friends
6/28/2021 1:56:00,Arctic Monkeys,I Wanna Be Yours
6/28/2021 1:53:00,SALES,pope is a rockstar
6/28/2021 1:50:00,"Dream, Ivory",Scorpion
6/28/2021 1:47:00,Coin,Crash My Car
6/28/2021 1:42:00,half•alive,still feel.
6/28/2021 1:38:00,lovelytheband,loneliness for love
6/28/2021 1:37:00,Still Woozy,Goodie Bag
6/27/2021 22:41:00,Pixies,Where Is My Mind?
6/27/2021 22:39:00,Maxence Cyrin,Where is my mind
6/27/2021 19:32:00,The Maccabees,Toothpaste Kisses
6/25/2021 0:25:00,Noah and the Whale,5 Years Time
6/25/2021 0:19:00,Rainbow Kitten Surprise,Cocaine Jesus
6/25/2021 0:06:00,Sir Sly,Astronaut
6/24/2021 16:48:00,Yabadum,Mountain Man
6/24/2021 16:45:00,Yabadum,Cosmos
6/24/2021 16:41:00,Yabadum,Ball and Chain
6/24/2021 16:37:00,Yabadum,Look Alive
6/24/2021 14:29:00,Yabadum,Winter
